country_name,year,country_code,literacy_rate_adult_female_of_females_ages_15_and_above,literacy_rate_adult_male_of_males_ages_15_and_above,literacy_rate_adult_total_of_people_ages_15_and_above,literacy_rate_youth_male_of_males_ages_1524,literacy_rate_youth_total_of_people_ages_1524,number_of_deaths_ages_1014_years,number_of_deaths_ages_1519_years,number_of_deaths_ages_2024_years,number_of_deaths_ages_59_years,number_of_infant_deaths,number_of_infant_deaths_female,number_of_infant_deaths_male,number_of_maternal_deaths,number_of_neonatal_deaths,number_of_stillbirths,total_alcohol_consumption_per_capita_female_liters_of_pure_alco,total_alcohol_consumption_per_capita_male_liters_of_pure_alcoho,tuberculosis_death_rate_per_100000_people,unemployment_female_of_female_labor_force,unemployment_male_of_male_labor_force,unemployment_total_of_total_labor_force,capital_health_expenditure_of_gdp,cause_of_death_by_communicable_diseases_and_maternal_prenatal_a,cause_of_death_by_injury_of_total,cause_of_death_by_noncommunicable_diseases_of_total,children_014_living_with_hiv,children_ages_014_newly_infected_with_hiv,condom_use_population_ages_1524_female_of_females_ages_1524,condom_use_population_ages_1524_male_of_males_ages_1524,consumption_of_iodized_salt_of_households,contraceptive_prevalence_any_methods_of_women_ages_1549,contraceptive_prevalence_modern_methods_of_women_ages_1549,current_health_expenditure_of_gdp,demand_for_family_planning_satisfied_by_any_methods_of_married_,demand_for_family_planning_satisfied_by_modern_methods_of_marri,diabetes_prevalence_of_population_ages_20_to_79,exclusive_breastfeeding_of_children_under_6_months,external_health_expenditure_of_current_health_expenditure,external_health_expenditure_channeled_through_government_of_ext,external_health_expenditure_per_capita_ppp_current_internationa
Lithuania,2010,LTU,0,0,0,0,0,40,160,267,28,155,69,86,3,91,109,7.56,24.59,7.2,14.51900005,21.19199944,17.81399918,0.19316533,2.4,8.4,89.2,0,0,0,0,0,0,0,6.83376026,0,0,7.6,0,0.16750419,56.25,2.26120305
Luxembourg,2010,LUX,0,0,0,0,0,2,8,11,2,14,6,8,0,9,20,6.44,19.71,0.2,5.097000122,3.796000004,4.361000061,0.43863514,6.1,6.6,87.3,0,0,0,0,0,0,0,7.03158236,0,0,5.3,0,0,0,0
Luxembourg,2005,LUX,0,0,0,0,0,2,9,14,2,16,7,9,0,10,18,6.76,20.7,0.23,5.827000141,3.506000042,4.487999916,0.82469338,0,0,0,0,0,0,0,0,0,0,7.18256855,0,0,0,0,0,0,0
Luxembourg,2018,LUX,0,0,0,0,0,1,6,7,1,15,6,9,0,10,22,6.36,19.51,0.18,5.883999825,5.331999779,5.585000038,0,0,0,0,0,0,0,0,0,0,0,5.28587103,0,0,0,0,1.41230023,0,85.413414
Monaco,2017,MCO,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64266789,0,0,0,0,0,0,0
Madagascar,2010,MDG,0,0,0,0,0,4580,6272,5017,7686,34251,15208,19043,3400,17910,13261,0.73,3.04,57,5.324999809,3.259000063,4.28000021,0,50.8,10.3,38.9,1000,200,0,0,0,0,0,5.32034874,0,0,3.2,0,15.95025635,33.78971718,11.74797821
Malawi,2005,MWI,0,0,0,0,0,2266,4569,5216,5184,34826,15687,19139,3300,16268,11323,1.09,4.73,31,6.866000175,4.896999836,5.870999813,0,0,0,0,130000,21000,0,0,0,0,0,6.05505085,0,44.84089,0,52.3,62.4583168,49.81476729,29.23835754
Malaysia,2005,MYS,0,0,0,0,0,830,1812,2206,734,3292,1434,1858,140,1889,2077,0.48,2.05,5.5,3.704999924,3.434999943,3.529999971,0.22319812,0,0,0,500,100,0,0,0,0,0,2.80124164,0,0,0,0,0.02555253,6.184157903,0.12394609
Malawi,2013,MWI,0,0,0,0,0,2216,3450,4499,4713,25120,11049,14071,2400,14908,11088,0,0,30,6.984000206,4.977000237,5.946000099,0.00062269,0,0,0,100000,7200,0,0,0,0,0,11.57910728,0,0,0,0,68.25177765,50.18232234,91.10888672
Malaysia,2015,MYS,0,0,0,0,0,764,1928,2095,571,3533,1563,1970,150,2167,2369,0.32,1.35,4,3.39199996,2.921000004,3.099999905,0.15467755,18,9,72.9,500,100,0,0,0,0,0,3.81608534,0,0,0,0,0.03395925,7.267744541,0.35140738
Maldives,2015,MDV,0,0,0,0,0,7,15,26,7,65,28,37,4,44,48,0.47,3.22,1.6,5.778999805,5.629000187,5.666999817,0.45796317,8.3,6.5,85.2,0,0,0,0,0,0,0,8.6903019,0,0,0,0,0.03117902,100,0.36703911
Maldives,2011,MDV,0,0,0,0,0,9,18,26,8,82,35,47,5,52,54,0,0,2.6,5.34800005,3.994999886,4.40899992,0.03781135,0,0,0,0,0,0,0,0,0,0,7.92251587,0,0,0,0,4.04558277,5.761191295,40.02046585
Malta,2010,MLT,0,0,0,0,0,3,7,11,1,23,10,13,0,18,14,2.93,10.3,0.77,7.131999969,6.697999954,6.847000122,0.04545799,5.2,3.7,91.2,0,0,0,0,0,0,0,8.21274376,0,0,6.8,0,0,0,0
Mauritania,2005,MRT,0,0,0,0,0,225,878,980,677,7442,3246,4196,930,4685,3247,0.035,0.23,46,12.59399986,8.572999954,9.791000366,0.32976526,0,0,0,1000,0,0,0,0,0,0,4.57625818,0,0,0,0,5.26023436,99.26523949,6.62916279
Malta,2015,MLT,0,0,0,0,0,3,6,9,1,25,11,14,0,20,14,3.38,11.77,0.45,5.387000084,5.374000072,5.379000187,0.63155496,6,3.2,90.8,0,0,0,0,0,0,0,9.20896149,0,0,0,0,0,0,0
Malta,2012,MLT,0,0,0,0,0,3,7,10,1,24,11,13,0,19,14,0,0,0.23,7.210000038,5.596000195,6.196000099,0.32792008,0,0,0,0,0,0,0,0,0,0,8.608181,0,0,0,0,0,0,0
Malta,2013,MLT,0,0,0,0,0,3,6,10,1,24,11,13,0,19,14,0,0,0.73,6.138999939,6.085000038,6.105999947,0.44097918,0,0,0,0,0,0,0,0,0,0,8.8266449,0,0,0,0,0,0,0
Malta,2014,MLT,0,0,0,0,0,3,6,10,1,25,11,14,0,19,14,0,0,0.24,5.102000237,6.117000103,5.724999905,0.50260323,0,0,0,0,0,0,0,0,0,0,9.34200478,0,0,0,0,0,0,0
Malta,2016,MLT,0,0,0,0,0,2,5,9,1,26,11,15,0,20,14,0,0,0.72,5.164000034,4.375,4.686999798,0.82250905,6.4,3.2,90.5,0,0,0,0,0,0,0,9.11781311,0,0,0,0,0,0,0
Mauritania,2010,MRT,0,0,0,0,0,221,900,1056,655,7719,3364,4355,1100,4895,3341,0.023,0.15,28,12.38799953,8.711000443,9.842000008,0.37388653,60.3,8.5,31.2,1000,0,0,0,0,0,0,3.421592,0,0,4.8,45.9,5.91232491,71.04463145,6.7897644
